Year,pMexico,Spring South,Midwest,Northeast,Truncated Midwest,Truncated Northeast,Cape May,Peninsula Point ,Fall South,Mexico,MWNE_mean,MWNE_sum,JN_PEAK_8,JN_PEAK_8.5,JN_PEAK_89,JN_ROOST_8,JN_ROOST_9,Durham_CA_OctDec_FallRoost,Xerces_CA_Nov_OverWintering
1992,NA,NA,NA,NA,NA,NA,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
1993,NA,NA,153.3646965,39.42462482,53.258,34.591,544.6,NA,NA,6.23,96.39466065,192.7893213,NA,NA,NA,NA,NA,4,NA
1994,6.23,NA,226.5368487,59.70447299,210.537,39.124,839.8,NA,NA,7.81,143.1206609,286.2413217,NA,NA,NA,NA,NA,NA,NA
1995,7.81,NA,35.737377,43.02065113,34.37,35.147,248.5,NA,NA,12.61,39.37901406,78.75802813,NA,NA,NA,NA,NA,NA,NA
1996,12.61,NA,102.1514345,37.71271979,61.293,32.97,503.6,104.411,NA,18.19,69.93207717,139.8641543,NA,NA,NA,NA,NA,37,NA
1997,18.19,NA,230.1057537,108.2529284,149.485,70.155,919.6,254.429,NA,5.77,169.1793411,338.3586822,NA,NA,NA,NA,NA,210,12233
1998,5.77,NA,104.8582464,40.95107995,47.686,25.308,403.1,63.514,NA,5.56,72.90466316,145.8093263,NA,NA,NA,NA,NA,60,5084
1999,5.56,NA,255.7037677,104.1177781,126.978,45.144,2849.2,287.665,NA,8.97,179.9107729,359.8215458,NA,NA,NA,NA,NA,NA,2268
2000,8.97,NA,149.8166909,80.29641048,73.162,32.814,250.7,259.48,NA,3.83,115.0565507,230.1131014,12,31,62,NA,NA,NA,2806
2001,3.83,NA,307.8025518,90.54563097,141.428,34.372,658.4,421.751,NA,9.36,199.1740914,398.3481828,23,78,145,NA,NA,NA,1663
2002,9.36,NA,166.0065921,21.38072621,62.175,8.54,276.8,317.842,35,7.54,93.69365918,187.3873184,4,12,25,3,14,250,1057
2003,7.54,NA,193.0165219,41.89667436,103.476,17.272,392.3,466.94,110.833,11.12,117.4565981,234.9131963,6,29,51,15,60,NA,2068
2004,11.12,NA,58.67233561,16.04850405,33.361,9.238,74,92.053,28.25,2.19,37.36041983,74.72083966,0,2,13,10,29,16,2471
2005,2.19,44.629,163.3303576,58.99659519,89.566,20.206,538.2,401.245,56.734,5.91,111.1634764,222.3269528,23,78,137,36,90,NA,2403
2006,5.91,77.268,338.1068621,265.466884,162.687,120.702,1743.4,56.64,133.614,6.87,301.786873,603.573746,26,63,207,33,72,NA,2541
2007,6.87,72.977,266.0174616,179.6701597,159.438,90.476,746,129.424,64.362,4.61,222.8438107,445.6876213,39,95,171,68,93,16,940
2008,4.61,51.261,170.1191524,132.0272301,76.062,57.147,265.8,320.048,24.262,5.06,151.0731912,302.1463825,0,33,94,13,64,27,1137
2009,5.06,75.296,185.1600584,88.07183516,84.44,43.095,281.2,177.383,183.774,1.92,136.6159468,273.2318935,12,26,56,37,83,NA,769
2010,1.92,29.595,306.7610053,95.78879125,156.473,51.278,1026.5,624.553,58.829,4.02,201.2748983,402.5497966,23,148,259,63,177,NA,1256
2011,4.02,34.3,140.3534742,80.14326265,76.412,35.492,681.73,108.428,171.66,2.89,110.2483684,220.4967368,8,37,138,19,79,NA,1725
2012,2.89,20.861,169.5841553,178.3364464,89.023,114.551,1222.26,121.686,62.798,1.19,173.9603008,347.9206017,11,115,241,18,90,14,1065
2013,1.19,10.31,41.93905231,16.80094145,17.153,6.524,112.73,42.462,37.39,0.67,29.36999688,58.73999376,3,20,65,1,38,NA,1296
2014,0.67,21.129,99.00903572,46.36667539,64.998,16.011,393.9,652.844,53.21,1.13,72.68785555,145.3757111,13,117,281,13,108,NA,1269
2015,1.13,NA,236.3318312,43.43693249,NA,NA,343.5,NA,NA,4.01,139.8843818,279.7687637,11,88,221,32,191,NA,1566
2016,4.01,NA,89.39292645,28.42495623,NA,NA,144.6,NA,NA,2.91,58.90894134,117.8178827,4,54,204,16,124,30,1180
2017,2.91,NA,192.5663851,142.3640095,NA,NA,858.8,NA,NA,2.48,167.4651973,334.9303945,16,52,230,39,96,28,732
2018,2.48,NA,NA,NA,NA,NA,397,NA,NA,6.05,NA,NA,46,176,375,149,381,9,130
2019,6.05,NA,NA,NA,NA,NA,NA,NA,NA,2.83,NA,NA,20,185,411,124,449,6,121
2020,2.83,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,71,273,5,8