,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
157,5071,35.275764,-97.503876,361,OK,207,Symphyotrichum,ericoides,white heath aster,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,13,-9999,-9999,1,2010,287,2455484,-9999,-9999,8,-9999,-9999,0,'',5177.25,-9999,9319.05,-9999,7.14,21.59,33.79,21.23,-3.06,9.46,22.39,9.88,176,194,265,269,726,-9999,40090,-9999
161,5079,35.3377,-97.569756,371,OK,204,Liatris,aspera,tall blazing star,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,8,-9999,-9999,1,2010,295,2455492,-9999,-9999,9,-9999,-9999,0,'',5172,-9999,9309.6,-9999,7.13,21.57,33.82,21.14,-3.16,9.38,22.39,9.81,168,188,330,288,767,-9999,40090,-9999
165,5079,35.3377,-97.569756,371,OK,207,Symphyotrichum,ericoides,white heath aster,Plantae,201,Open flowers (1 location),1,2010,287,2455484,-9999,-9999,8,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5172,-9999,9309.6,-9999,7.13,21.57,33.82,21.14,-3.16,9.38,22.39,9.81,168,188,330,288,767,-9999,40090,-9999
300,6061,35.48304,-97.255737,350,OK,197,Asclepias,incarnata,swamp milkweed,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15643',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
301,6061,35.48304,-97.255737,350,OK,197,Asclepias,incarnata,swamp milkweed,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15643',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
303,6061,35.48304,-97.255737,350,OK,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15637',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
304,6061,35.48304,-97.255737,350,OK,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15637',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
307,6061,35.48304,-97.255737,350,OK,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,0,'',-9999,-9999,-9999,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,-9999,-9999,-9999,-9999
309,6061,35.48304,-97.255737,350,OK,714,Cirsium,vulgare,bull thistle,Plantae,500,Flowers or flower buds,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15635',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
310,6061,35.48304,-97.255737,350,OK,714,Cirsium,vulgare,bull thistle,Plantae,501,Open flowers,1,2011,234,2455796,-9999,-9999,1,-9999,-9999,1,2011,229,2455791,-9999,-9999,4,-9999,-9999,1,'15635',4374.5,-9999,7874.1,-9999,10.51,23.06,38.05,24.24,-3.04,9.79,23.89,10.29,65,202,83,137,339,-9999,47002,-9999
689,9621,27.972702,-97.134949,3,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2013,81,2456374,-9999,-9999,5,-9999,-9999,1,2013,140,2456433,-9999,-9999,4,-9999,-9999,0,'',1316,-9999,2368.8,-9999,21.03,25.49,32.94,28.68,11.14,16.83,24.96,19.22,166,81,185,166,138,-9999,43200,-9999
690,9621,27.972702,-97.134949,3,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,1,2013,110,2456403,-9999,-9999,13,-9999,-9999,1,2013,140,2456433,-9999,-9999,4,-9999,-9999,0,'',1886.75,-9999,3396.15,-9999,21.03,25.49,32.94,28.68,11.14,16.83,24.96,19.22,166,81,185,166,157,-9999,45965,-9999
707,9813,29.765047,-95.452187,17,TX,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2013,139,2456432,-9999,-9999,14,-9999,-9999,1,2013,139,2456432,-9999,-9999,13,-9999,-9999,1,'37200',2322.5,-9999,4180.5,-9999,20.43,26.02,34.66,28.43,8.42,13.68,23.22,15.34,242,266,217,187,436,-9999,48730,-9999
710,9930,31.580486,-97.324806,178,TX,223,Asclepias,asperula,spider milkweed,Plantae,500,Flowers or flower buds,1,2013,137,2456430,-9999,-9999,16,-9999,-9999,1,2013,150,2456443,-9999,-9999,16,-9999,-9999,0,'',1891.25,-9999,3404.25,-9999,17.92,24.27,35.22,27.61,3.93,10.91,22.35,12.74,189,186,162,123,307,-9999,49075,-9999
711,9930,31.580486,-97.324806,178,TX,223,Asclepias,asperula,spider milkweed,Plantae,501,Open flowers,1,2013,150,2456443,-9999,-9999,13,-9999,-9999,1,2013,150,2456443,-9999,-9999,16,-9999,-9999,0,'',2221.75,-9999,3999.15,-9999,17.92,24.27,35.22,27.61,3.93,10.91,22.35,12.74,189,186,162,123,352,-9999,50112,-9999
827,2208,31.966946,-98.885612,560,TX,223,Asclepias,asperula,spider milkweed,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2014,124,2456782,-9999,-9999,8,-9999,-9999,0,'',-9999,-9999,-9999,-9999,13.1,24.59,32.81,24.13,-1.8,8.92,20.41,11.35,82,203,189,240,-9999,-9999,-9999,-9999
828,2208,31.966946,-98.885612,560,TX,223,Asclepias,asperula,spider milkweed,Plantae,501,Open flowers,1,2014,124,2456782,-9999,-9999,7,-9999,-9999,1,2014,124,2456782,-9999,-9999,8,-9999,-9999,0,'',1354.75,-9999,2438.55,-9999,13.1,24.59,32.81,24.13,-1.8,8.92,20.41,11.35,82,203,189,240,61,-9999,48038,-9999
886,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2014,169,2456827,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2474.75,-9999,4454.55,-9999,13.73,23.29,31.88,25.37,1.27,10.54,21.73,12.95,205,419,230,480,556,-9999,50803,-9999
887,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2014,169,2456827,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2474.75,-9999,4454.55,-9999,13.73,23.29,31.88,25.37,1.27,10.54,21.73,12.95,205,419,230,480,556,-9999,50803,-9999
1000,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2014,318,2456976,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,13.4,24.2,33.79,25.42,0.25,10.98,22.67,13.31,89,173,211,286,-9999,-9999,-9999,-9999
1001,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2014,318,2456976,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,13.4,24.2,33.79,25.42,0.25,10.98,22.67,13.31,89,173,211,286,-9999,-9999,-9999,-9999
1028,17069,30.468864,-90.182861,5,LA,202,Echinacea,purpurea,eastern purple coneflower,Plantae,500,Flowers or flower buds,1,2014,86,2456744,-9999,-9999,2,-9999,-9999,1,2014,86,2456744,-9999,-9999,12,-9999,-9999,0,'',853,-9999,1535.4,-9999,15.67,24.02,32.07,26.03,2.84,12.09,21.8,13.96,395,603,558,289,332,-9999,43891,-9999
1029,17069,30.468864,-90.182861,5,LA,202,Echinacea,purpurea,eastern purple coneflower,Plantae,501,Open flowers,1,2014,86,2456744,-9999,-9999,2,-9999,-9999,1,2014,86,2456744,-9999,-9999,12,-9999,-9999,0,'',853,-9999,1535.4,-9999,15.67,24.02,32.07,26.03,2.84,12.09,21.8,13.96,395,603,558,289,332,-9999,43891,-9999
1145,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2015,161,2457184,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2377.5,-9999,4279.5,-9999,13.63,23.67,33.83,25.13,2.87,13.22,22.31,12.7,329,793,222,301,1067,-9999,50803,-9999
1298,19434,32.558018,-94.728218,122,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2015,148,2457171,-9999,-9999,4,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2004.5,-9999,3608.1,-9999,13.31,23.36,33.95,25.19,2.48,12.96,22.27,12.46,338,868,191,302,1120,-9999,50112,-9999
1306,19649,30.292294,-95.320061,48,TX,714,Cirsium,vulgare,bull thistle,Plantae,500,Flowers or flower buds,1,2015,78,2457101,-9999,-9999,16,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',836.25,-9999,1505.25,-9999,16.21,25.4,34.28,26.34,5.53,15.67,22.86,14.5,253,686,239,341,277,-9999,42854,-9999
1309,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2015,144,2457167,-9999,-9999,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1954.75,-9999,3518.55,-9999,13.63,23.66,33.84,25.16,2.89,13.19,22.3,12.7,328,803,210,297,962,-9999,49766,-9999
1310,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2015,151,2457174,-9999,-9999,4,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2121.75,-9999,3819.15,-9999,13.63,23.66,33.84,25.16,2.89,13.19,22.3,12.7,328,803,210,297,1077,-9999,50458,-9999
1463,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2016,27,2457415,-9999,-9999,3,-9999,-9999,1,2016,80,2457468,-9999,-9999,3,-9999,-9999,1,'87567',194.5,-9999,350.1,-9999,17.2,24.98,33.5,26.79,4.13,12.94,22.87,14.05,325,660,324,449,52,-9999,37325,-9999
1464,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2016,48,2457436,-9999,-9999,3,-9999,-9999,1,2016,80,2457468,-9999,-9999,3,-9999,-9999,1,'87567',427,-9999,768.6,-9999,17.2,24.98,33.5,26.79,4.13,12.94,22.87,14.05,325,660,324,449,63,-9999,39398,-9999
1553,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2016,118,2457506,-9999,-9999,9,-9999,-9999,1,2016,316,2457704,-9999,-9999,10,-9999,-9999,1,'73461',1605,-9999,2889,-9999,16.97,24.75,34.32,26.88,4.07,13.41,23.62,15.17,190,450,240,568,369,-9999,47693,-9999
1554,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,1,2016,118,2457506,-9999,-9999,9,-9999,-9999,1,2016,309,2457697,-9999,-9999,7,-9999,-9999,1,'73461',1605,-9999,2889,-9999,16.97,24.75,34.32,26.88,4.07,13.41,23.62,15.17,190,450,240,568,369,-9999,47693,-9999
1595,17061,35.074306,-92.462051,89,AR,204,Liatris,aspera,tall blazing star,Plantae,500,Flowers or flower buds,1,2016,152,2457540,-9999,-9999,21,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1875.75,-9999,3376.35,-9999,13.5,23.07,33.08,24.66,0.64,10.16,21.99,11.25,323,468,335,454,552,-9999,51149,-9999
1596,17062,35.27227,-92.317642,139,AR,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,1,2016,147,2457535,-9999,-9999,4,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1701.25,-9999,3062.25,-9999,12.92,22.51,32.48,24.1,0.31,9.93,21.65,10.88,329,479,373,463,553,-9999,50803,-9999
1632,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2017,1,2457755,-9999,-9999,14,-9999,-9999,1,2016,349,2457737,-9999,-9999,4,-9999,-9999,1,'87703',14,-9999,25.2,-9999,17.74,25.76,32.19,27.62,6.65,12.99,22.15,14.63,313,352,373,130,1,-9999,35597,-9999
1633,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2016,157,2457545,-9999,-9999,4,-9999,-9999,1,2016,349,2457737,-9999,-9999,4,-9999,-9999,1,'87703',2442.5,-9999,4396.5,-9999,17.17,24.97,33.52,26.74,4.11,12.93,22.87,14.05,338,641,324,455,800,-9999,50458,-9999
1755,23026,38.009502,-91.462395,276,MO,931,Monarda,fistulosa,wild bergamot,Plantae,500,Flowers or flower buds,2,2016,123,2457511,0,0,15,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',997,0,1794.6,0,8.96,20.45,30.54,21.63,-2.13,7.78,19.66,9.16,344,387,399,293,250,0,49075,0
1756,23026,38.009502,-91.462395,276,MO,931,Monarda,fistulosa,wild bergamot,Plantae,501,Open flowers,2,2016,123,2457511,0,0,15,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',997,0,1794.6,0,8.96,20.45,30.54,21.63,-2.13,7.78,19.66,9.16,344,387,399,293,250,0,49075,0
1869,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2017,116,2457870,-9999,-9999,3,-9999,-9999,1,2017,141,2457895,-9999,-9999,4,-9999,-9999,0,'',1824.25,-9999,3283.65,-9999,17.74,25.77,32.19,27.63,6.67,13.01,22.15,14.64,312,354,369,136,374,-9999,47347,-9999
1870,8418,32.363758,-94.873947,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2017,120,2457874,-9999,-9999,4,-9999,-9999,1,2017,141,2457895,-9999,-9999,4,-9999,-9999,0,'',1902,-9999,3423.6,-9999,17.74,25.77,32.19,27.63,6.67,13.01,22.15,14.64,312,354,369,136,400,-9999,47693,-9999
1972,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2017,109,2457863,-9999,-9999,30,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1670.5,-9999,3006.9,-9999,17.26,26.04,33.2,27.52,5.65,13.83,22.97,15.88,170,214,365,180,299,-9999,46656,-9999
1973,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,501,Open flowers,1,2017,116,2457870,-9999,-9999,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1803.25,-9999,3245.85,-9999,17.26,26.04,33.2,27.52,5.65,13.83,22.97,15.88,170,214,365,180,314,-9999,47347,-9999
2070,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,500,Flowers or flower buds,1,2017,130,2457884,-9999,-9999,3,-9999,-9999,1,2017,148,2457902,-9999,-9999,3,-9999,-9999,0,'',2092.25,-9999,3766.05,-9999,17.74,25.76,32.19,27.62,6.65,12.99,22.15,14.63,313,352,373,130,414,-9999,48730,-9999
2071,19661,32.394226,-94.872826,108,TX,203,Helianthus,annuus,common sunflower,Plantae,501,Open flowers,1,2017,141,2457895,-9999,-9999,4,-9999,-9999,1,2017,141,2457895,-9999,-9999,4,-9999,-9999,0,'',2343.75,-9999,4218.75,-9999,17.74,25.76,32.19,27.62,6.65,12.99,22.15,14.63,313,352,373,130,482,-9999,49766,-9999
2263,25869,32.673393,-93.031845,112,LA,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2017,99,2457853,-9999,-9999,18,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1383.75,-9999,2490.75,-9999,17.39,25.49,31.62,27.33,5.65,11.63,21.27,12.8,299,330,501,245,287,-9999,45274,-9999
2376,27477,29.793816,-90.122452,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,296,2458050,-9999,-9999,5,-9999,-9999,0,'',-9999,-9999,-9999,-9999,20.52,26.03,31.44,28.11,11.45,16.89,24.08,18.48,400,504,1043,249,-9999,-9999,-9999,-9999
2626,16404,32.638493,-97.071976,174,TX,195,Asclepias,tuberosa,butterfly milkweed,Plantae,500,Flowers or flower buds,1,2018,108,2458227,-9999,-9999,9,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2939,27474,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2018,242,2458361,-9999,-9999,21,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5193,-9999,9347.4,-9999,17.81,25.25,33.81,26.93,7.69,14.96,23.38,17.6,373,1133,198,268,1544,-9999,45619,-9999
2940,27474,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,501,Open flowers,1,2018,261,2458380,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5728,-9999,10310.4,-9999,17.81,25.25,33.81,26.93,7.69,14.96,23.38,17.6,373,1133,198,268,1657,-9999,43546,-9999
2944,27475,29.783813,-90.117561,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2018,242,2458361,-9999,-9999,21,-9999,-9999,1,2018,308,2458427,-9999,-9999,19,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2945,27475,29.783813,-90.117561,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,501,Open flowers,1,2018,282,2458401,-9999,-9999,21,-9999,-9999,1,2018,308,2458427,-9999,-9999,19,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2952,27477,29.793816,-90.122452,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2018,85,2458204,-9999,-9999,18,-9999,-9999,1,2018,277,2458396,-9999,-9999,16,-9999,-9999,1,'141926',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2953,27477,29.793816,-90.122452,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,501,Open flowers,1,2018,85,2458204,-9999,-9999,18,-9999,-9999,1,2018,277,2458396,-9999,-9999,16,-9999,-9999,1,'141926',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3101,31151,36.138344,-95.969276,230,OK,1637,Rudbeckia,hirta,blackeyed Susan,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2018,232,2458351,0,0,10,0,0,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3643,27474,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2019,248,2458732,-9999,-9999,27,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5361.5,-9999,9650.7,-9999,25.62,25.25,33.81,26.74,15.86,14.96,23.38,15.66,61095,1133,198,478,1590,-9999,44928,-9999
3644,27474,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2019,297,2458781,-9999,-9999,28,-9999,-9999,0,'',-9999,-9999,-9999,-9999,25.62,25.25,33.81,26.74,15.86,14.96,23.38,15.66,61095,1133,198,478,-9999,-9999,-9999,-9999
3648,27475,29.783813,-90.117561,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2019,248,2458732,-9999,-9999,27,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3652,27477,29.793816,-90.122452,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,500,Flowers or flower buds,1,2019,234,2458718,-9999,-9999,21,-9999,-9999,1,2019,262,2458746,-9999,-9999,28,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
3922,34459,31.679283,-97.679939,299,TX,714,Cirsium,vulgare,bull thistle,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2019,221,2458705,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,14.63,24.43,36.58,23.92,2.13,9.92,22.5,13.08,273,285,90,771,-9999,-9999,-9999,-9999
3923,34459,31.679283,-97.679939,299,TX,714,Cirsium,vulgare,bull thistle,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2019,221,2458705,-9999,-9999,7,-9999,-9999,0,'',-9999,-9999,-9999,-9999,14.63,24.43,36.58,23.92,2.13,9.92,22.5,13.08,273,285,90,771,-9999,-9999,-9999,-9999
3926,34459,31.679283,-97.679939,299,TX,1332,Asclepias,latifolia,broadleaf milkweed,Plantae,500,Flowers or flower buds,1,2019,200,2458684,-9999,-9999,1,-9999,-9999,1,2019,212,2458696,-9999,-9999,9,-9999,-9999,0,'',3501.5,-9999,6302.7,-9999,14.63,24.43,36.58,23.92,2.13,9.92,22.5,13.08,273,285,90,771,429,-9999,49766,-9999
3927,34459,31.679283,-97.679939,299,TX,1332,Asclepias,latifolia,broadleaf milkweed,Plantae,501,Open flowers,1,2019,192,2458676,-9999,-9999,7,-9999,-9999,1,2019,212,2458696,-9999,-9999,9,-9999,-9999,1,'200914',3253.5,-9999,5856.3,-9999,14.63,24.43,36.58,23.92,2.13,9.92,22.5,13.08,273,285,90,771,429,-9999,50112,-9999